ï»¿UPM,NVIVI,NHOGA,AÃO,DPTO,area,L02,edad,P03,P04,P04A,P04B,P05C,P05P,P05M,sexo,P08D,P08M,P08A,P09,ocupado,A01A,A02,A03,A04,A04B,A04A,A05,A07,A08,A10,A11A,A11M,A11S,A12,A13REC,A14REC,A15,A16,A17A,A17M,A17S,A18,B01REC,B02REC,B03LU,B03MA,B03MI,B03JU,B03VI,B03SA,B03DO,B04,B05,B06,B07A,B07M,B07S,B08,B09A,B09M,B09S,B10,B11,B12,B12A,B12B,B12C,B13,B14,B15,B16G,B16U,B16D,B16T,B17,B18AG,B18AU,B18BG,B18BU,B19,B20G,B20U,B20D,B20T,B21,B22,B23,B24,B25,B26,B271,B272,B28,B29,B30,B31,C01REC,C02REC,C03,C04,C05,C06,C07,C08,C09,C101,C102,C11G,C11U,C11D,C11T,C12,C13AG,C13AU,C13BG,C13BU,C14,C14A,C14B,C14C,C15,C16REC,C17REC,C18,C18A,C18B,C19,D01,D02,D03,D04,D05,E01A,E01B,E01C,E01D,E01E,E01F,E01G,E01H,E01I,E01J,E01K,E01L,E01M,ED01,ED02,ED03,ED0504,ED06C,ED08,ED09,ED10,ED11F1,ED11F1A,ED11GH1,ED11GH1A,S01A,S01B,S02,S03,S03A,S03B,S03C,S04,S05,S06,S07,S08,S09,CATE_PEA,TAMA_PEA,OCUP_PEA,RAMA_PEA,HORAB,HORABC,HORABCO,PEAD,PEAA,TIPOHOGA,FACTOR,NJEF,NCON,NPAD,NMAD,anios_estudio,ra06ya09,ingreso_principal,e01bimde,e01cimde,e01dde,e01ede,e01fde,e01gde,e01hde,e01ide,e01jde,e01kde,e01lde,e01mde,e01kjde,e02bde,ingrevasode,ingrealmuerzode,ipcm,pobrezai,pobnopoi,quintili,decili,quintiai,decilai,informalidad,sexo_lbl,area_lbl
14,16,1,2025,0,1,1,40,1,1,1, ,2,0,0,1,7,4,1984,2,1.0, ,1, , , ,1, , , , , , , , , , , , , , , , ,3,2,9,9,9,9,9,0,0,1, , ,7,0,0,8,7,0,0,1,1,2,6, , ,18,2,4,4500000,5, ,4500000,1,0, ,4500000,6,6, , , , ,6, , ,6, ,3, , ,1,2,1,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, ,6, , ,4500000,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2405,1,19, ,2, , , , ,1, ,1,3, , , , , , , , , ,2,8,3,2,45,45,45,1,1,2,138,2405,2402, , ,17, ,4589338.235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3535490,19607843",3,0,5,9,5,9,2,Hombre,Urbana
14,26,1,2025,0,1,1,32,1,1,1, ,0,0,0,1,30,3,1992,5,1.0, ,1, , , ,1, , , , , , , , , , , , , , , , ,8,2,8,8,8,8,8,8,8,1, , ,8,0,0,7,8,0,0,1,1,2,6, , ,30,88,4,3200000,5, ,3200000,6, , , , ,6, , , , ,6, , ,1,200000,1, , ,1,2,1,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, ,6, , ,3200000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,903, ,19, ,2, , , , ,1, ,1,3, , , , , , , , , ,2,7,8,2,56,56,56,1,1,4,183,903,8888, , ,12, ,3263529.411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3671470,58823529",3,0,5,9,5,9,2,Hombre,Urbana
14,35,1,2025,0,1,1,24,1,1,1, ,2,0,0,1,11,11,2000,2,1.0, ,1, , , ,1, , , , , , , , , , , , , , , , ,5,5,0,8,8,12,12,12,12,1, , ,8,0,0,2,0,2,0,6, ,2,6, , ,88,1,4,2500000,5, ,2500000,1,500000,5,300000,6,1,800000,5, ,800000,6, , ,1,140000,4, , ,1,1,1,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, ,6, , ,3800000,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1003, ,19, ,2, , , , ,7, , ,3, , , , , , , , , ,2,2,5,5,64,64,64,1,1,2,120,1003,2401, , ,12, ,3875441.176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3457301,47058823",3,0,5,9,5,9,1,Hombre,Urbana
14,35,1,2025,0,1,2,27,2,1,1, ,1,0,0,6,25,7,1997,2,1.0, ,1, , , ,1, , , , , , , , , , , , , , , , ,9,5,8,0,8,10,10,6,6,1, , ,4,0,0,7,4,0,0,1,1,2,6, , ,12,1,4,2800000,5, ,2800000,1,180000,5,2800000,6,6, , , , ,6, , ,6, ,3, , ,1,2,1,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, ,6, , ,2980000,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2401,14,16,2, , , , , ,1, ,1,3, , , , , , , , , ,2,7,9,5,48,48,48,1,1,2,120,1003, , , ,13, ,3039161.764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3457301,47058823",3,0,5,9,5,9,2,Mujer,Urbana
14,47,1,2025,0,1,1,40,1,1,1, ,0,0,0,1,31,7,1984,3,1.0, ,1, , , ,1, , , , , , , , , , , , , , , , ,5,8,18,0,18,18,0,0,18,1, , ,18,0,0,8,18,0,0,1,2,1,6, , ,30,3,4,5000000,5, ,5000000,1,110000,5,5000000,6,1,300000,5, ,300000,6, , ,6, ,1, , , , , ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, ,6, , ,5410000,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2301,6,19, ,1, , , , ,6, , ,3, , , , , , , , , ,1,8,5,8,72,72,72,1,1,1,137,2301,8888, , ,13, ,5517404.411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5517404,4117647",3,0,5,10,5,10,2,Hombre,Urbana
14,57,1,2025,0,1,3,46,3,1,1, ,0,1,2,1,11,11,1978,5,1.0, ,1, , , ,1, , , , , , , , , , , , , , , , ,5,5,12,12,12,12,12,12,5,1, , ,25,0,0,2,25,0,0,6, ,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,1,1,1,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,20,2,6,10,1300000,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,606, ,19, ,14, , , , ,7, , ,1,1, , ,1, ,1,4,1,6,4,2,5,5,77,77,77,1,1,2,118,606, ,606,8888,12, ,1325808.823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"798188,150831238",2,1,1,2,1,1,2,Hombre,Urbana
14,66,1,2025,0,1,1,31,1,1,1, ,0,0,0,1,7,4,1993,3,1.0, ,1, , , ,1, , , , , , , , , , , , , , , , ,3,8,"5,3","5,3","5,3","5,3","5,3",0,0,1, , ,13,0,0,4,13,0,0,6, ,2,6, , ,88,2,4,10000000,5, ,10000000,6, , , , ,6, , , , ,6, , ,6, ,2, , ,1,5,1,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,10,2,1,11,10000000,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2404,1,19, ,2, , , , ,2, , ,3, , , , , , , , , ,2,4,3,8,28,28,28,4,1,4,109,2404,8888, , ,16, ,10198529.411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6607797,18137254",3,0,5,10,5,10,1,Hombre,Urbana
30,11,1,2025,0,1,1,61,1,1,1, ,0,0,0,1,4,6,1964,4,1.0, ,1, , , ,1, , , , , , , , , , , , , , , , ,1,6,0,8,8,8,8,0,0,3,12,40,15,0,0,2,16,0,0,1,1,2,6, , ,30,2,4,3000000,5, ,3000000,1,3000000,5,0, ,6, , , , ,6, , ,1,500000,1, , ,1,2,1,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,10,3,6,11,6000000,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,606, , , , , , , , ,1, ,1,1,6, , ,1, ,1,9,6,6,2,2,1,6,40,40,40,1,1,4,76,606,8888, , ,12, ,5991360.691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2355146,58363359",3,0,4,7,4,7,2,Hombre,Urbana
30,11,1,2025,0,1,3,29,3,1,1, ,8,1,0,6,22,6,1996,2,1.0, ,1, , , ,1, , , , , , , , , , , , , , , , ,4,6,0,5,5,5,5,0,0,3,12,30,11,0,0,2,11,0,0,6, ,2,6, , ,30,2,4,2000000,5, ,2000000,6, , , , ,6, , , , ,6, , ,1,500000,1, , ,1,2,1,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,10,1, ,1,2000000,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,903, ,19, ,2, , , , ,7, , ,3, , , , , , , , , ,2,2,4,6,30,30,30,1,1,4,76,606, , , ,12, ,1997120.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2355146,58363359",3,0,4,7,4,7,1,Mujer,Urbana
30,17,1,2025,0,1,4,56,9,1,1, ,0,0,0,6,21,9,1969,5,1.0, ,1, , , ,1, , , , , , , , , , , , , , , , ,9,8,0,0,6,0,6,0,4,1, , ,3,0,0,1,3,0,0,6, ,4, , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,6, ,6,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, ,6, , ,1600000,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,503, , , , , , , , ,7, , ,1,1, , ,1, ,1,2,1,6,4,1,9,8,16,16,16,1,1,4,71,706, , , ,9, ,1597696.184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2271724,26205904",3,0,4,7,4,7,1,Mujer,Urbana
